row-number,field,issue-type,value
10,PlanningHistory,uri,09/01882/FUL
12,PlanningHistory,uri,17/00952/FUL
12,NetDwellingsRangeFrom,default,88
12,NetDwellingsRangeTo,default,88
13,PlanningHistory,uri,"""14/01448/OUT, 17/00140/REM, 16/00751/AMD, 16/00094/REM, 15/02241/REM, 14/01103/FUL, 10/01882/OUT, 07/00009/FUL, 06/01533/OUT"""
13,NetDwellingsRangeFrom,default,742
13,NetDwellingsRangeTo,default,742
18,PlanningHistory,uri,17/01134/FUL
18,NetDwellingsRangeFrom,default,73
18,NetDwellingsRangeTo,default,73
23,PlanningHistory,uri,12/02027/OUT
23,NetDwellingsRangeFrom,default,87
23,NetDwellingsRangeTo,default,87
25,PlanningHistory,uri,"""07/01094/OUT, 17/00835/REM, 17/00166/REM, 16/00488/REM, 13/00941/REM, 12/01171/REM"""
25,NetDwellingsRangeFrom,default,1341
25,NetDwellingsRangeTo,default,1341
38,PlanningHistory,uri,16/00644/FUL
38,NetDwellingsRangeFrom,default,10
38,NetDwellingsRangeTo,default,10
42,PlanningHistory,uri,16/02033/FUL
42,NetDwellingsRangeFrom,default,27
42,NetDwellingsRangeTo,default,27
43,PlanningHistory,uri,15/00858/OUT
43,NetDwellingsRangeFrom,default,18
43,NetDwellingsRangeTo,default,18
44,PlanningHistory,uri,16/02233/FUL
44,NetDwellingsRangeFrom,default,11
44,NetDwellingsRangeTo,default,11
46,PlanningHistory,uri,"""15/02230/FUL, 15/02229/FUL"""
46,NetDwellingsRangeFrom,default,6
46,NetDwellingsRangeTo,default,6
48,PlanningHistory,uri,15/01609/FUL
48,NetDwellingsRangeFrom,default,12
48,NetDwellingsRangeTo,default,12
49,PlanningHistory,uri,05/00862/FUL
49,NetDwellingsRangeFrom,default,24
49,NetDwellingsRangeTo,default,24
50,PlanningHistory,uri,16/00554/FUL
50,NetDwellingsRangeFrom,default,162
50,NetDwellingsRangeTo,default,162
51,PlanningHistory,uri,"""15/01726/FUL, 91/01031/OUT"""
51,NetDwellingsRangeFrom,default,6
51,NetDwellingsRangeTo,default,6
