row-number,field,issue-type,value
1,NetDwellingsRangeTo,default,181
2,NetDwellingsRangeTo,default,8
3,NetDwellingsRangeTo,default,22
4,NetDwellingsRangeTo,default,6
5,NetDwellingsRangeTo,default,6
6,NetDwellingsRangeTo,default,5
7,NetDwellingsRangeTo,default,11
8,NetDwellingsRangeTo,default,7
9,NetDwellingsRangeTo,default,5
10,NetDwellingsRangeTo,default,6
11,NetDwellingsRangeTo,default,6
12,NetDwellingsRangeTo,default,35
13,NetDwellingsRangeTo,default,9
14,NetDwellingsRangeTo,default,6
15,NetDwellingsRangeTo,default,8
16,NetDwellingsRangeTo,default,5
17,NetDwellingsRangeTo,default,20
18,NetDwellingsRangeTo,default,6
19,NetDwellingsRangeTo,default,5
20,NetDwellingsRangeTo,default,5
21,NetDwellingsRangeTo,default,5
22,NetDwellingsRangeTo,default,9
23,NetDwellingsRangeTo,default,72
24,NetDwellingsRangeTo,default,6
25,NetDwellingsRangeTo,default,58
26,NetDwellingsRangeTo,default,136
27,NetDwellingsRangeTo,default,5
28,NetDwellingsRangeTo,default,39
29,NetDwellingsRangeTo,default,6
30,NetDwellingsRangeTo,default,6
31,NetDwellingsRangeTo,default,9
32,NetDwellingsRangeTo,default,8
33,NetDwellingsRangeTo,default,12
34,NetDwellingsRangeTo,default,10
35,NetDwellingsRangeTo,default,9
36,NetDwellingsRangeTo,default,7
37,NetDwellingsRangeTo,default,5
38,NetDwellingsRangeTo,default,8
39,NetDwellingsRangeTo,default,10
40,NetDwellingsRangeTo,default,5
41,NetDwellingsRangeTo,default,6
42,NetDwellingsRangeTo,default,12
43,NetDwellingsRangeTo,default,78
44,NetDwellingsRangeTo,default,10
45,NetDwellingsRangeTo,default,35
46,NetDwellingsRangeTo,default,9
47,NetDwellingsRangeTo,default,13
48,NetDwellingsRangeTo,default,5
49,NetDwellingsRangeTo,default,20
50,NetDwellingsRangeTo,default,244
51,NetDwellingsRangeTo,default,50
52,NetDwellingsRangeTo,default,17
53,NetDwellingsRangeTo,default,7
54,NetDwellingsRangeTo,default,16
55,NetDwellingsRangeTo,default,35
56,NetDwellingsRangeTo,default,5
57,NetDwellingsRangeTo,default,5
58,NetDwellingsRangeTo,default,8
59,NetDwellingsRangeTo,default,32
60,NetDwellingsRangeTo,default,16
61,NetDwellingsRangeTo,default,10
62,NetDwellingsRangeTo,default,28
63,NetDwellingsRangeTo,default,102
64,NetDwellingsRangeTo,default,29
65,NetDwellingsRangeTo,default,7
66,NetDwellingsRangeTo,default,6
67,NetDwellingsRangeTo,default,15
68,NetDwellingsRangeTo,default,8
69,NetDwellingsRangeTo,default,5
70,NetDwellingsRangeTo,default,18
71,NetDwellingsRangeTo,default,11
72,NetDwellingsRangeTo,default,6
73,NetDwellingsRangeTo,default,15
74,NetDwellingsRangeTo,default,17
75,NetDwellingsRangeTo,default,45
76,NetDwellingsRangeTo,default,9
77,NetDwellingsRangeTo,default,21
78,NetDwellingsRangeTo,default,12
79,NetDwellingsRangeTo,default,19
