row-number,field,issue-type,value
1,"GeoX,GeoY",out of range,"3981833.0,-67616"
2,NetDwellingsRangeTo,default,33
2,"GeoX,GeoY",out of range,"3981787.0,-67585"
3,NetDwellingsRangeTo,default,25
3,"GeoX,GeoY",out of range,"3981847.0,-67677"
4,NetDwellingsRangeTo,default,25
4,"GeoX,GeoY",out of range,"3981832.0,-67666"
5,NetDwellingsRangeTo,default,135
5,"GeoX,GeoY",out of range,"3981829.0,-67786"
6,"GeoX,GeoY",out of range,"3981760.0,-67714"
7,NetDwellingsRangeTo,default,8
7,"GeoX,GeoY",out of range,"3981827.0,-67836"
8,NetDwellingsRangeTo,default,43
8,"GeoX,GeoY",out of range,"3981789.0,-67805"
9,"GeoX,GeoY",out of range,"3981736.0,-67443"
10,"GeoX,GeoY",out of range,"3981966.0,-67341"
11,NetDwellingsRangeTo,default,33
11,"GeoX,GeoY",out of range,"3982014.0,-67332"
12,"GeoX,GeoY",out of range,"3982004.0,-67382"
13,NetDwellingsRangeTo,default,43
13,"GeoX,GeoY",out of range,"3981933.0,-67420"
14,NetDwellingsRangeTo,default,28
14,"GeoX,GeoY",out of range,"3981900.0,-67479"
15,NetDwellingsRangeTo,default,7
15,"GeoX,GeoY",out of range,"3981882.0,-67548"
16,NetDwellingsRangeTo,default,19
16,"GeoX,GeoY",out of range,"3981920.0,-67589"
17,NetDwellingsRangeTo,default,8
17,"GeoX,GeoY",out of range,"3981960.0,-67831"
18,"GeoX,GeoY",out of range,"3981543.0,-67626"
19,"GeoX,GeoY",out of range,"3981436.0,-67833"
20,"GeoX,GeoY",out of range,"3981445.0,-67503"
21,NetDwellingsRangeTo,default,315
21,"GeoX,GeoY",out of range,"3981656.0,-67240"
22,"GeoX,GeoY",out of range,"3981678.0,-67030"
23,"GeoX,GeoY",out of range,"3981905.0,-67008"
24,"GeoX,GeoY",out of range,"3981822.0,-66850"
25,NetDwellingsRangeTo,default,765
25,"GeoX,GeoY",out of range,"3981925.0,-66797"
26,"GeoX,GeoY",out of range,"3981854.0,-66586"
27,NetDwellingsRangeTo,default,20
27,"GeoX,GeoY",out of range,"3981983.0,-66741"
28,"GeoX,GeoY",out of range,"3981225.0,-68106"
29,"GeoX,GeoY",out of range,"3981374.0,-68071"
30,NetDwellingsRangeTo,default,5
30,"GeoX,GeoY",out of range,"3981399.0,-68042"
31,NetDwellingsRangeTo,default,96
31,"GeoX,GeoY",out of range,"3981443.0,-68123"
32,"GeoX,GeoY",out of range,"3981672.0,-68071"
33,NetDwellingsRangeTo,default,79
33,"GeoX,GeoY",out of range,"3981789.0,-68047"
34,NetDwellingsRangeTo,default,427
34,"GeoX,GeoY",out of range,"3981863.0,-68048"
35,"GeoX,GeoY",out of range,"3981794.0,-68175"
36,"GeoX,GeoY",out of range,"3982037.0,-67884"
