row-number,field,issue-type,value
1,OrganisationURI,uri,Hounslow
1,NetDwellingsRangeFrom,default,137
1,NetDwellingsRangeTo,default,137
2,OrganisationURI,uri,Hounslow
2,NetDwellingsRangeFrom,default,75
2,NetDwellingsRangeTo,default,75
3,OrganisationURI,uri,Hounslow
3,NetDwellingsRangeFrom,default,518
3,NetDwellingsRangeTo,default,518
4,OrganisationURI,uri,Hounslow
4,NetDwellingsRangeFrom,default,127
4,NetDwellingsRangeTo,default,127
5,OrganisationURI,uri,Hounslow
5,NetDwellingsRangeFrom,default,125
5,NetDwellingsRangeTo,default,125
6,OrganisationURI,uri,Hounslow
6,NetDwellingsRangeFrom,default,29
6,NetDwellingsRangeTo,default,29
7,OrganisationURI,uri,Hounslow
7,NetDwellingsRangeFrom,default,40
7,NetDwellingsRangeTo,default,40
8,OrganisationURI,uri,Hounslow
8,NetDwellingsRangeFrom,default,58
8,NetDwellingsRangeTo,default,58
9,OrganisationURI,uri,Hounslow
9,NetDwellingsRangeFrom,default,62
9,NetDwellingsRangeTo,default,62
