row-number,field,issue-type,value
1,OrganisationURI,opendatacommunities-uri,
1,NetDwellingsRangeFrom,default,12
1,NetDwellingsRangeTo,default,12
1,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
2,OrganisationURI,opendatacommunities-uri,
2,NetDwellingsRangeFrom,default,32
2,NetDwellingsRangeTo,default,32
2,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
3,OrganisationURI,opendatacommunities-uri,
3,NetDwellingsRangeFrom,default,5
3,NetDwellingsRangeTo,default,5
3,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
4,OrganisationURI,opendatacommunities-uri,
4,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
5,OrganisationURI,opendatacommunities-uri,
5,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
6,OrganisationURI,opendatacommunities-uri,
6,NetDwellingsRangeFrom,default,5
6,NetDwellingsRangeTo,default,5
6,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
7,OrganisationURI,opendatacommunities-uri,
7,NetDwellingsRangeFrom,default,64
7,NetDwellingsRangeTo,default,64
7,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
7,LastUpdatedDate,default,2019-12-22
8,OrganisationURI,opendatacommunities-uri,
8,NetDwellingsRangeFrom,default,31
8,NetDwellingsRangeTo,default,31
8,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
8,LastUpdatedDate,default,2019-12-22
9,OrganisationURI,opendatacommunities-uri,
9,NetDwellingsRangeFrom,default,30
9,NetDwellingsRangeTo,default,30
9,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
9,LastUpdatedDate,default,2019-12-22
10,OrganisationURI,opendatacommunities-uri,
10,NetDwellingsRangeFrom,default,5
10,NetDwellingsRangeTo,default,5
10,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
10,LastUpdatedDate,default,2019-12-22
11,OrganisationURI,opendatacommunities-uri,
11,NetDwellingsRangeFrom,default,21
11,NetDwellingsRangeTo,default,21
11,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
11,LastUpdatedDate,default,2019-12-22
12,OrganisationURI,opendatacommunities-uri,
12,NetDwellingsRangeFrom,default,10
12,NetDwellingsRangeTo,default,10
12,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
12,LastUpdatedDate,default,2019-12-22
13,OrganisationURI,opendatacommunities-uri,
13,NetDwellingsRangeFrom,default,8
13,NetDwellingsRangeTo,default,8
13,OrganisationURI,default,http://opendatacommunities.org/id/district-council/tonbridge-and-malling
13,LastUpdatedDate,default,2019-12-22
