row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,14
1,NetDwellingsRangeTo,default,14
2,NetDwellingsRangeFrom,default,482
2,NetDwellingsRangeTo,default,482
3,NetDwellingsRangeFrom,default,35
3,NetDwellingsRangeTo,default,35
4,NetDwellingsRangeFrom,default,10
4,NetDwellingsRangeTo,default,10
5,NetDwellingsRangeFrom,default,11
5,NetDwellingsRangeTo,default,11
6,NetDwellingsRangeFrom,default,17
6,NetDwellingsRangeTo,default,17
7,NetDwellingsRangeFrom,default,30
7,NetDwellingsRangeTo,default,30
8,NetDwellingsRangeFrom,default,1100
8,NetDwellingsRangeTo,default,1100
9,NetDwellingsRangeFrom,default,151
9,NetDwellingsRangeTo,default,151
10,NetDwellingsRangeFrom,default,22
10,NetDwellingsRangeTo,default,22
11,NetDwellingsRangeFrom,default,100
11,NetDwellingsRangeTo,default,100
12,NetDwellingsRangeFrom,default,10
12,NetDwellingsRangeTo,default,10
13,NetDwellingsRangeFrom,default,220
13,NetDwellingsRangeTo,default,220
14,NetDwellingsRangeFrom,default,645
14,NetDwellingsRangeTo,default,645
15,NetDwellingsRangeFrom,default,27
15,NetDwellingsRangeTo,default,27
16,NetDwellingsRangeFrom,default,367
16,NetDwellingsRangeTo,default,367
17,NetDwellingsRangeFrom,default,9
17,NetDwellingsRangeTo,default,9
18,NetDwellingsRangeFrom,default,19
18,NetDwellingsRangeTo,default,19
19,NetDwellingsRangeFrom,default,12
19,NetDwellingsRangeTo,default,12
20,NetDwellingsRangeFrom,default,10
20,NetDwellingsRangeTo,default,10
21,NetDwellingsRangeFrom,default,12
21,NetDwellingsRangeTo,default,12
