row-number,field,issue-type,value
1,NetDwellingsRangeFrom,default,8
1,NetDwellingsRangeTo,default,8
2,NetDwellingsRangeFrom,default,10
2,NetDwellingsRangeTo,default,10
3,NetDwellingsRangeFrom,default,5
3,NetDwellingsRangeTo,default,5
4,NetDwellingsRangeFrom,default,6
4,NetDwellingsRangeTo,default,6
5,NetDwellingsRangeFrom,default,34
5,NetDwellingsRangeTo,default,34
6,NetDwellingsRangeFrom,default,53
6,NetDwellingsRangeTo,default,53
7,NetDwellingsRangeFrom,default,20
7,NetDwellingsRangeTo,default,20
8,NetDwellingsRangeFrom,default,12
8,NetDwellingsRangeTo,default,12
9,NetDwellingsRangeFrom,default,110
9,NetDwellingsRangeTo,default,110
10,NetDwellingsRangeFrom,default,12
10,NetDwellingsRangeTo,default,12
11,NetDwellingsRangeFrom,default,19
11,NetDwellingsRangeTo,default,19
12,NetDwellingsRangeFrom,default,20
12,NetDwellingsRangeTo,default,20
13,NetDwellingsRangeFrom,default,12
13,NetDwellingsRangeTo,default,12
14,NetDwellingsRangeFrom,default,42
14,NetDwellingsRangeTo,default,42
15,NetDwellingsRangeFrom,default,27
15,NetDwellingsRangeTo,default,27
16,NetDwellingsRangeFrom,default,15
16,NetDwellingsRangeTo,default,15
17,NetDwellingsRangeFrom,default,27
17,NetDwellingsRangeTo,default,27
18,NetDwellingsRangeFrom,default,12
18,NetDwellingsRangeTo,default,12
19,NetDwellingsRangeFrom,default,12
19,NetDwellingsRangeTo,default,12
20,NetDwellingsRangeFrom,default,16
20,NetDwellingsRangeTo,default,16
21,NetDwellingsRangeFrom,default,23
21,NetDwellingsRangeTo,default,23
22,NetDwellingsRangeFrom,default,13
22,NetDwellingsRangeTo,default,13
22,"GeoX,GeoY",OSGB outside England,"41255,282893"
23,NetDwellingsRangeFrom,default,5
23,NetDwellingsRangeTo,default,5
24,NetDwellingsRangeFrom,default,5
24,NetDwellingsRangeTo,default,5
25,NetDwellingsRangeFrom,default,32
25,NetDwellingsRangeTo,default,32
26,NetDwellingsRangeFrom,default,22
26,NetDwellingsRangeTo,default,22
27,NetDwellingsRangeFrom,default,128
27,NetDwellingsRangeTo,default,128
28,NetDwellingsRangeFrom,default,54
28,NetDwellingsRangeTo,default,54
29,NetDwellingsRangeFrom,default,14
29,NetDwellingsRangeTo,default,14
30,NetDwellingsRangeFrom,default,10
30,NetDwellingsRangeTo,default,10
31,NetDwellingsRangeFrom,default,11
31,NetDwellingsRangeTo,default,11
32,NetDwellingsRangeFrom,default,15
32,NetDwellingsRangeTo,default,15
33,NetDwellingsRangeFrom,default,7
33,NetDwellingsRangeTo,default,7
34,NetDwellingsRangeFrom,default,27
34,NetDwellingsRangeTo,default,27
35,NetDwellingsRangeFrom,default,5
35,NetDwellingsRangeTo,default,5
36,NetDwellingsRangeFrom,default,21
36,NetDwellingsRangeTo,default,21
37,NetDwellingsRangeFrom,default,7
37,NetDwellingsRangeTo,default,7
38,NetDwellingsRangeFrom,default,16
38,NetDwellingsRangeTo,default,16
39,NetDwellingsRangeFrom,default,7
39,NetDwellingsRangeTo,default,7
40,NetDwellingsRangeFrom,default,53
40,NetDwellingsRangeTo,default,53
41,NetDwellingsRangeFrom,default,17
41,NetDwellingsRangeTo,default,17
42,NetDwellingsRangeFrom,default,8
42,NetDwellingsRangeTo,default,8
43,NetDwellingsRangeFrom,default,45
43,NetDwellingsRangeTo,default,45
44,NetDwellingsRangeFrom,default,21
44,NetDwellingsRangeTo,default,21
45,NetDwellingsRangeFrom,default,5
45,NetDwellingsRangeTo,default,5
46,NetDwellingsRangeFrom,default,31
46,NetDwellingsRangeTo,default,31
47,NetDwellingsRangeFrom,default,16
47,NetDwellingsRangeTo,default,16
48,NetDwellingsRangeFrom,default,48
48,NetDwellingsRangeTo,default,48
49,NetDwellingsRangeFrom,default,50
49,NetDwellingsRangeTo,default,50
50,NetDwellingsRangeFrom,default,92
50,NetDwellingsRangeTo,default,92
51,NetDwellingsRangeFrom,default,8
51,NetDwellingsRangeTo,default,8
52,NetDwellingsRangeFrom,default,21
52,NetDwellingsRangeTo,default,21
53,NetDwellingsRangeFrom,default,10
53,NetDwellingsRangeTo,default,10
54,NetDwellingsRangeFrom,default,95
54,NetDwellingsRangeTo,default,95
55,NetDwellingsRangeFrom,default,5
55,NetDwellingsRangeTo,default,5
56,NetDwellingsRangeFrom,default,71
56,NetDwellingsRangeTo,default,71
57,NetDwellingsRangeFrom,default,24
57,NetDwellingsRangeTo,default,24
58,NetDwellingsRangeFrom,default,6
58,NetDwellingsRangeTo,default,6
59,NetDwellingsRangeFrom,default,102
59,NetDwellingsRangeTo,default,102
60,NetDwellingsRangeFrom,default,130
60,NetDwellingsRangeTo,default,130
61,NetDwellingsRangeFrom,default,68
61,NetDwellingsRangeTo,default,68
62,NetDwellingsRangeFrom,default,157
62,NetDwellingsRangeTo,default,157
63,NetDwellingsRangeFrom,default,38
63,NetDwellingsRangeTo,default,38
64,NetDwellingsRangeFrom,default,84
64,NetDwellingsRangeTo,default,84
65,NetDwellingsRangeFrom,default,37
65,NetDwellingsRangeTo,default,37
66,NetDwellingsRangeFrom,default,77
66,NetDwellingsRangeTo,default,77
67,NetDwellingsRangeFrom,default,6
67,NetDwellingsRangeTo,default,6
68,NetDwellingsRangeFrom,default,15
68,NetDwellingsRangeTo,default,15
69,NetDwellingsRangeFrom,default,49
69,NetDwellingsRangeTo,default,49
70,NetDwellingsRangeFrom,default,12
70,NetDwellingsRangeTo,default,12
71,NetDwellingsRangeFrom,default,5
71,NetDwellingsRangeTo,default,5
72,NetDwellingsRangeFrom,default,85
72,NetDwellingsRangeTo,default,85
73,NetDwellingsRangeFrom,default,5
73,NetDwellingsRangeTo,default,5
74,NetDwellingsRangeFrom,default,9
74,NetDwellingsRangeTo,default,9
75,NetDwellingsRangeFrom,default,7
75,NetDwellingsRangeTo,default,7
76,NetDwellingsRangeFrom,default,9
76,NetDwellingsRangeTo,default,9
77,NetDwellingsRangeFrom,default,7
77,NetDwellingsRangeTo,default,7
78,NetDwellingsRangeFrom,default,6
78,NetDwellingsRangeTo,default,6
79,NetDwellingsRangeFrom,default,8
79,NetDwellingsRangeTo,default,8
80,NetDwellingsRangeFrom,default,5
80,NetDwellingsRangeTo,default,5
81,NetDwellingsRangeFrom,default,9
81,NetDwellingsRangeTo,default,9
82,NetDwellingsRangeFrom,default,22
82,NetDwellingsRangeTo,default,22
83,NetDwellingsRangeFrom,default,144
83,NetDwellingsRangeTo,default,144
84,NetDwellingsRangeFrom,default,8
84,NetDwellingsRangeTo,default,8
85,NetDwellingsRangeFrom,default,39
