row-number,field,issue-type,value
1,PlanningHistory,uri,153125
1,NetDwellingsRangeFrom,default,126
1,NetDwellingsRangeTo,default,126
2,PlanningHistory,uri,161689
2,NetDwellingsRangeFrom,default,65
2,NetDwellingsRangeTo,default,65
3,PlanningHistory,uri,161809
3,NetDwellingsRangeFrom,default,42
3,NetDwellingsRangeTo,default,42
4,PlanningHistory,uri,162051
4,NetDwellingsRangeFrom,default,9
4,NetDwellingsRangeTo,default,9
5,PlanningHistory,uri,162140
5,NetDwellingsRangeFrom,default,73
5,NetDwellingsRangeTo,default,73
6,PlanningHistory,uri,162289
6,NetDwellingsRangeFrom,default,33
6,NetDwellingsRangeTo,default,33
7,PlanningHistory,uri,162421
7,NetDwellingsRangeFrom,default,45
7,NetDwellingsRangeTo,default,45
8,PlanningHistory,uri,162529
8,NetDwellingsRangeFrom,default,11
8,NetDwellingsRangeTo,default,11
9,PlanningHistory,uri,170618
9,NetDwellingsRangeFrom,default,74
9,NetDwellingsRangeTo,default,74
10,PlanningHistory,uri,F/2014/2637
10,NetDwellingsRangeFrom,default,26
10,NetDwellingsRangeTo,default,26
11,PlanningHistory,uri,RM/2014/2062
11,NetDwellingsRangeFrom,default,126
11,NetDwellingsRangeTo,default,126
12,PlanningHistory,uri,173734
12,NetDwellingsRangeFrom,default,12
12,NetDwellingsRangeTo,default,12
13,PlanningHistory,uri,172005
13,NetDwellingsRangeFrom,default,114
13,NetDwellingsRangeTo,default,114
14,PlanningHistory,uri,171333
14,NetDwellingsRangeFrom,default,79
14,NetDwellingsRangeTo,default,79
15,PlanningHistory,uri,170686
15,NetDwellingsRangeFrom,default,179
15,NetDwellingsRangeTo,default,179
16,PlanningHistory,uri,F/2013/0517
16,NetDwellingsRangeFrom,default,20
16,NetDwellingsRangeTo,default,20
17,PlanningHistory,uri,171328
17,NetDwellingsRangeFrom,default,10
17,NetDwellingsRangeTo,default,10
18,PlanningHistory,uri,F/2014/2119
18,NetDwellingsRangeFrom,default,18
18,NetDwellingsRangeTo,default,18
19,PlanningHistory,uri,F/2014/1317
19,NetDwellingsRangeFrom,default,39
19,NetDwellingsRangeTo,default,39
20,PlanningHistory,uri,171648
20,NetDwellingsRangeFrom,default,10
20,NetDwellingsRangeTo,default,10
21,PlanningHistory,uri,152192
21,NetDwellingsRangeFrom,default,33
21,NetDwellingsRangeTo,default,33
22,PlanningHistory,uri,172012
22,NetDwellingsRangeFrom,default,55
22,NetDwellingsRangeTo,default,55
23,PlanningHistory,uri,163058
23,NetDwellingsRangeFrom,default,43
23,NetDwellingsRangeTo,default,43
24,PlanningHistory,uri,161845
24,NetDwellingsRangeFrom,default,31
24,NetDwellingsRangeTo,default,31
25,PlanningHistory,uri,162219 (SA104)
25,NetDwellingsRangeFrom,default,16
25,NetDwellingsRangeTo,default,16
26,PlanningHistory,uri,F/2014/2353
26,NetDwellingsRangeFrom,default,12
26,NetDwellingsRangeTo,default,12
27,PlanningHistory,uri,150066
27,NetDwellingsRangeFrom,default,9
27,NetDwellingsRangeTo,default,9
28,PlanningHistory,uri,F/2014/0875
28,NetDwellingsRangeFrom,default,257
28,NetDwellingsRangeTo,default,257
29,PlanningHistory,uri,OFF/2013/2477 + 153258
29,NetDwellingsRangeFrom,default,15
29,NetDwellingsRangeTo,default,15
30,PlanningHistory,uri,180184
30,NetDwellingsRangeFrom,default,8
30,NetDwellingsRangeTo,default,8
31,PlanningHistory,uri,161065
31,NetDwellingsRangeFrom,default,26
31,NetDwellingsRangeTo,default,26
32,PlanningHistory,uri,161444
32,NetDwellingsRangeFrom,default,10
32,NetDwellingsRangeTo,default,10
33,PlanningHistory,uri,172734
33,NetDwellingsRangeFrom,default,8
33,NetDwellingsRangeTo,default,8
34,PlanningHistory,uri,172050
34,NetDwellingsRangeFrom,default,18
34,NetDwellingsRangeTo,default,18
35,PlanningHistory,uri,170415
35,NetDwellingsRangeFrom,default,24
35,NetDwellingsRangeTo,default,24
36,PlanningHistory,uri,163140
36,NetDwellingsRangeFrom,default,0
36,NetDwellingsRangeTo,default,0
