row-number,field,issue-type,value
3,NetDwellingsRangeFrom,default,25
3,NetDwellingsRangeTo,default,25
4,NetDwellingsRangeFrom,default,5
4,NetDwellingsRangeTo,default,5
5,NetDwellingsRangeFrom,default,11
5,NetDwellingsRangeTo,default,11
7,NetDwellingsRangeFrom,default,5
7,NetDwellingsRangeTo,default,5
8,NetDwellingsRangeFrom,default,137
8,NetDwellingsRangeTo,default,137
9,NetDwellingsRangeFrom,default,14
9,NetDwellingsRangeTo,default,14
11,NetDwellingsRangeFrom,default,5
11,NetDwellingsRangeTo,default,5
12,NetDwellingsRangeFrom,default,14
12,NetDwellingsRangeTo,default,14
14,NetDwellingsRangeFrom,default,8
14,NetDwellingsRangeTo,default,8
16,NetDwellingsRangeFrom,default,8
16,NetDwellingsRangeTo,default,8
26,NetDwellingsRangeFrom,default,7
26,NetDwellingsRangeTo,default,7
27,NetDwellingsRangeFrom,default,11
27,NetDwellingsRangeTo,default,11
29,NetDwellingsRangeFrom,default,11
29,NetDwellingsRangeTo,default,11
32,NetDwellingsRangeFrom,default,7
32,NetDwellingsRangeTo,default,7
33,NetDwellingsRangeFrom,default,5
33,NetDwellingsRangeTo,default,5
35,NetDwellingsRangeFrom,default,8
35,NetDwellingsRangeTo,default,8
38,NetDwellingsRangeFrom,default,7
38,NetDwellingsRangeTo,default,7
39,NetDwellingsRangeFrom,default,7
39,NetDwellingsRangeTo,default,7
41,NetDwellingsRangeFrom,default,5
41,NetDwellingsRangeTo,default,5
42,NetDwellingsRangeFrom,default,7
42,NetDwellingsRangeTo,default,7
43,NetDwellingsRangeFrom,default,36
43,NetDwellingsRangeTo,default,36
45,NetDwellingsRangeFrom,default,25
45,NetDwellingsRangeTo,default,25
46,NetDwellingsRangeFrom,default,8
46,NetDwellingsRangeTo,default,8
50,NetDwellingsRangeFrom,default,15
50,NetDwellingsRangeTo,default,15
52,NetDwellingsRangeFrom,default,11
52,NetDwellingsRangeTo,default,11
53,NetDwellingsRangeFrom,default,9
53,NetDwellingsRangeTo,default,9
54,NetDwellingsRangeFrom,default,23
54,NetDwellingsRangeTo,default,23
55,NetDwellingsRangeFrom,default,6
55,NetDwellingsRangeTo,default,6
56,NetDwellingsRangeFrom,default,11
56,NetDwellingsRangeTo,default,11
58,NetDwellingsRangeFrom,default,6
58,NetDwellingsRangeTo,default,6
59,NetDwellingsRangeFrom,default,9
59,NetDwellingsRangeTo,default,9
60,NetDwellingsRangeFrom,default,8
60,NetDwellingsRangeTo,default,8
62,NetDwellingsRangeFrom,default,10
62,NetDwellingsRangeTo,default,10
63,NetDwellingsRangeFrom,default,7
63,NetDwellingsRangeTo,default,7
64,NetDwellingsRangeFrom,default,6
64,NetDwellingsRangeTo,default,6
66,NetDwellingsRangeFrom,default,9
66,NetDwellingsRangeTo,default,9
69,NetDwellingsRangeFrom,default,8
69,NetDwellingsRangeTo,default,8
70,NetDwellingsRangeFrom,default,6
70,NetDwellingsRangeTo,default,6
71,NetDwellingsRangeFrom,default,6
71,NetDwellingsRangeTo,default,6
