row-number,field,issue-type,value
13,PlanningHistory,uri,"""14/01448/OUT, 17/00140/REM, 16/00751/AMD, 16/00094/REM, 15/02241/REM, 14/01103/FUL, 10/01882/OUT, 07/00009/FUL, 06/01533/OUT"""
13,NetDwellingsRangeFrom,default,742
13,NetDwellingsRangeTo,default,742
24,PlanningHistory,uri,12/02027/OUT
24,NetDwellingsRangeFrom,default,87
24,NetDwellingsRangeTo,default,87
26,PlanningHistory,uri,"""07/01094/OUT, 17/00166/REM, 16/00488/REM, 13/00941/REM, 12/01171/REM"""
26,NetDwellingsRangeFrom,default,1341
26,NetDwellingsRangeTo,default,1341
34,PlanningHistory,uri,15/02359/FUL
34,NetDwellingsRangeFrom,default,25
34,NetDwellingsRangeTo,default,25
39,PlanningHistory,uri,15/02234/FUL
39,NetDwellingsRangeFrom,default,62
39,NetDwellingsRangeTo,default,62
41,PlanningHistory,uri,16/00644/FUL
41,NetDwellingsRangeFrom,default,21
41,NetDwellingsRangeTo,default,21
42,PlanningHistory,uri,16/01128/FUL
42,NetDwellingsRangeFrom,default,95
42,NetDwellingsRangeTo,default,95
47,PlanningHistory,uri,15/00858/OUT
47,NetDwellingsRangeFrom,default,137
47,NetDwellingsRangeTo,default,137
48,PlanningHistory,uri,16/01973/FUL
48,NetDwellingsRangeFrom,default,15
48,NetDwellingsRangeTo,default,15
49,PlanningHistory,uri,15/01520/FUL
49,NetDwellingsRangeFrom,default,24
49,NetDwellingsRangeTo,default,24
50,PlanningHistory,uri,16/02233/FUL
50,NetDwellingsRangeFrom,default,54
50,NetDwellingsRangeTo,default,54
52,PlanningHistory,uri,"""15/02230/FUL, 15/02229/FUL"""
52,NetDwellingsRangeFrom,default,6
52,NetDwellingsRangeTo,default,6
54,PlanningHistory,uri,15/01609/FUL
54,NetDwellingsRangeFrom,default,12
54,NetDwellingsRangeTo,default,12
55,PlanningHistory,uri,05/00862/FUL
55,NetDwellingsRangeFrom,default,24
55,NetDwellingsRangeTo,default,24
56,PlanningHistory,uri,15/01629/FUL
56,NetDwellingsRangeFrom,default,14
56,NetDwellingsRangeTo,default,14
57,PlanningHistory,uri,16/00554/FUL
57,NetDwellingsRangeFrom,default,162
57,NetDwellingsRangeTo,default,162
58,PlanningHistory,uri,16/02046/FUL
58,NetDwellingsRangeFrom,default,10
58,NetDwellingsRangeTo,default,10
59,PlanningHistory,uri,"""15/01726/FUL, 91/01031/OUT"""
59,NetDwellingsRangeFrom,default,6
59,NetDwellingsRangeTo,default,6
60,PlanningHistory,uri,"""05/00162/FUL, 03/00920/FUL"""
60,NetDwellingsRangeFrom,default,12
60,NetDwellingsRangeTo,default,12
61,PlanningHistory,uri,14/00743/FUL
61,NetDwellingsRangeFrom,default,5
61,NetDwellingsRangeTo,default,5
62,PlanningHistory,uri,"""12/00005/FUL, 08/01627/FUL"""
62,NetDwellingsRangeFrom,default,17
62,NetDwellingsRangeTo,default,17
63,PlanningHistory,uri,15/00776/FUL
63,NetDwellingsRangeFrom,default,11
63,NetDwellingsRangeTo,default,11
64,PlanningHistory,uri,14/00082/FUL
64,NetDwellingsRangeFrom,default,29
64,NetDwellingsRangeTo,default,29
65,PlanningHistory,uri,16/02212/FUL
65,NetDwellingsRangeFrom,default,12
65,NetDwellingsRangeTo,default,12
66,PlanningHistory,uri,"""13/00850/REM, 12/00898/REM, 08/01968/OUT"""
66,NetDwellingsRangeFrom,default,19
66,NetDwellingsRangeTo,default,19
67,PlanningHistory,uri,15/01332/FUL
67,NetDwellingsRangeFrom,default,26
67,NetDwellingsRangeTo,default,26
68,PlanningHistory,uri,16/02342/FUL
68,NetDwellingsRangeFrom,default,10
68,NetDwellingsRangeTo,default,10
69,PlanningHistory,uri,15/02337/FUL
69,NetDwellingsRangeFrom,default,28
69,NetDwellingsRangeTo,default,28
70,PlanningHistory,uri,"""16/01422/REM, 14/00791/OUT"""
70,NetDwellingsRangeFrom,default,50
70,NetDwellingsRangeTo,default,50
71,PlanningHistory,uri,14/02381/FUL
71,NetDwellingsRangeFrom,default,7
